section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769074341967,835.356,473.196,1.0,48,,0.5046236325438598,8.017913230113171
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769078205967,836.296,453.183,1.0,48,,0.5672906243297795,9.310409591659804
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769083561967,810.5,455.677,1.0,48,,-1.1138698034364327,9.14844424881101
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769089889967,819.418,473.722,1.0,48,,-0.5320589500704482,7.983671896738499
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769092957967,835.841,476.208,1.0,48,,0.5359670262336085,7.823348969569848
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769099225967,827.762,435.198,1.0,48,,0.01141893638660326,10.471509650881252
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769102362967,839.351,457.087,1.0,48,,0.7660347738476763,9.058210475475208
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769108915967,822.043,475.193,1.0,48,,-0.36127532005146346,7.8887825716527065
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769114906967,812.699,451.41,1.0,48,,-0.9709891787329068,9.424102181029957
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769118083967,816.767,453.339,1.0,48,,-0.7056399362518176,9.29986413709775
