gazeX,gazeY
673.5307,701.9237
681.2844,702.3574
699.5168,702.6863
732.4187,703.9172
776.0631,688.9382
798.7606,692.9059
814.9034,682.9641
825.2854,682.3493
826.0802,677.4212
827.8513,678.8124
833.4269,680.6839
832.4729,677.2107
830.5796,681.5869
832.1363,679.5305
832.4299,681.8728
829.9065,682.7627
832.23,682.0118
833.6271,682.5521
835.0028,679.4618
834.5857,677.5213
834.2553,684.2974
838.2741,679.7313
837.6193,678.5711
834.0391,680.9459
837.1842,682.1245
834.6966,681.2341
840.3247,679.8082
836.0249,682.042
833.2737,681.5265
837.3314,680.601
838.2587,678.8843
838.2308,681.8492
837.8186,680.7118
834.8694,684.812
838.4211,677.5944
838.5617,683.0455
840.3981,684.0341
834.7078,686.1487
842.0949,680.5361
842.8915,681.8062
842.2202,677.8695
836.7692,683.3059
834.7522,684.8183
838.4795,683.2149
836.4391,679.1518
840.4503,681.8392
841.5567,681.8883
836.0937,678.0113
836.233,682.9514
841.4975,682.0931
839.0895,681.5308
841.707,680.5094
839.4404,682.7426
837.2584,685.9701
836.6678,682.3623
841.9287,684.7436
839.1393,679.5223
841.6374,684.973
841.1587,681.959
840.4528,677.1965
838.3393,683.0957
844.549,684.0581
841.9193,682.1462
836.3665,678.5139
839.4991,679.8004
840.7777,683.6899
840.2444,680.9498
847.3012,677.5121
836.7771,682.3067
837.0672,684.3224
841.404,681.8422
841.1577,680.202
837.5831,680.0103
844.2426,680.0018
846.8238,681.961
843.7672,677.679
840.4665,678.3306
844.1598,680.4833
836.8783,679.8948
838.3508,683.4818
845.5721,677.7774
835.8743,682.8272
837.6522,678.5621
843.5879,680.547
840.5981,682.2687
841.0583,680.5452
839.6149,682.101
836.1461,681.8682
842.3254,680.6048
838.986,681.8532
837.3372,683.4059
838.5281,680.4569
843.905,681.8162
843.9792,681.3685
841.592,682.2854
838.8368,679.3378
839.8486,673.2049
856.0002,672.4878
873.186,665.3915
887.8904,664.1467
894.6685,659.306
894.6445,663.5421
901.0966,661.9933
897.4165,657.8067
903.036,657.4272
900.7181,655.6716
899.7526,659.3586
894.2612,657.2759
902.0646,658.5765
897.4074,659.8125
892.8968,660.1408
898.8554,654.7639
898.3218,656.2652
898.1225,656.3855
895.9924,652.1024
897.5948,657.6997
902.7815,658.3445
896.271,656.1688
900.2119,657.4064
899.7565,657.8938
903.0464,656.2605
901.676,656.6744
903.4383,655.5364
901.8868,659.4537
900.094,660.155
898.2527,656.4109
