gaze_ts,worldFrame,confidence,world_gazeX,world_gazeY,ref_gazeX,ref_gazeY,mapped,number_matches
1703060766396.03,236.0,1.0,303.05512500000003,181.370625,468.744,292.776,1.0,157.0
1703060766402.387,236.0,1.0,302.879625,183.13125000000002,468.592,293.989,1.0,157.0
1703060766405.623,236.0,1.0,303.283125,184.01850000000002,468.951,294.696,1.0,157.0
1703060766411.851,236.0,1.0,296.659875,181.64175,463.109,291.732,1.0,157.0
1703060766415.263,236.0,1.0,296.166375,182.399625,462.679,292.172,1.0,157.0
1703060766421.119,236.0,1.0,296.12475,182.61937500000002,462.644,292.319,1.0,157.0
1703060766427.409,236.0,1.0,295.92075,179.38649999999998,462.452,289.999,1.0,157.0
1703060766430.687,236.0,1.0,296.87737500000003,180.28575,463.294,290.817,1.0,157.0
1703060766438.563,236.0,1.0,296.006625,180.27075,462.531,290.64,1.0,157.0
1703060766439.8699,236.0,1.0,305.4435,178.38412499999998,470.863,291.118,1.0,157.0
1703060766446.139,236.0,1.0,298.70099999999996,178.43325000000002,464.891,289.856,1.0,157.0
1703060766452.4019,236.0,1.0,300.90825,178.92412499999998,466.839,290.627,1.0,157.0
1703060766456.597,236.0,1.0,295.737375,176.620125,462.28,288.008,1.0,157.0
1703060766461.7842,236.0,1.0,297.18487500000003,178.26525,463.557,289.447,1.0,157.0
1703060766464.8699,236.0,1.0,299.12325000000004,180.79425,465.27,291.608,1.0,157.0
1703060766471.06,236.0,1.0,295.44487499999997,183.05325,462.051,292.493,1.0,157.0
1703060766478.4949,236.0,1.0,303.47437499999995,182.869875,469.118,293.92,1.0,157.0
1703060766480.449,236.0,1.0,300.17474999999996,183.03075,466.202,293.392,1.0,157.0
1703060766486.798,236.0,1.0,300.497625,181.255875,466.483,292.2,1.0,157.0
1703060766489.966,236.0,1.0,299.01862500000004,182.02499999999998,465.182,292.458,1.0,157.0
1703060766496.0808,236.0,1.0,293.50275,184.2015,460.361,292.927,1.0,157.0
1703060766502.358,236.0,1.0,290.729625,180.22425,457.928,289.602,1.0,157.0
1703060766505.4348,236.0,1.0,290.593875,180.02700000000002,457.809,289.437,1.0,157.0
1703060766511.7341,236.0,1.0,295.74487500000004,180.5595,462.303,290.793,1.0,157.0
1703060766515.005,236.0,1.0,293.25975,184.39687500000002,460.15,293.017,1.0,157.0
1703060766521.3398,236.0,1.0,295.12874999999997,179.20725000000002,461.758,289.721,1.0,157.0
1703060766527.353,236.0,1.0,296.008875,180.99450000000002,462.536,291.151,1.0,157.0
1703060766530.457,236.0,1.0,294.29249999999996,182.105625,461.04,291.605,1.0,157.0
1703060766536.812,236.0,1.0,308.74575,185.395125,473.811,296.748,1.0,157.0
1703060766543.563,236.0,1.0,301.614,182.17125,467.471,293.064,1.0,157.0
1703060766547.6182,236.0,1.0,303.01725,177.92775,468.705,290.325,1.0,157.0
1703060766552.4238,236.0,1.0,301.57575,176.81175000000002,467.425,289.255,1.0,157.0
1703060766555.453,236.0,1.0,304.83,180.14475000000002,470.318,292.251,1.0,157.0
1703060766562.034,236.0,1.0,299.36025,181.9395,465.482,292.463,1.0,157.0
1703060766568.013,236.0,1.0,298.6995,183.23662499999998,464.905,293.251,1.0,157.0
1703060766571.167,236.0,1.0,299.38800000000003,184.87875,465.515,294.544,1.0,157.0
1703060766577.7878,238.0,1.0,288.9585,182.614875,448.478,291.509,1.0,168.0
1703060766580.628,238.0,1.0,291.83625,179.857875,450.863,290.169,1.0,168.0
1703060766587.96,238.0,1.0,289.479375,182.19,448.912,291.318,1.0,168.0
1703060766593.049,238.0,1.0,296.60925,181.21875,455.147,292.029,1.0,168.0
1703060766596.089,238.0,1.0,289.047,183.601125,448.606,292.2,1.0,168.0
1703060766602.3408,238.0,1.0,287.303625,177.8955,446.785,287.953,1.0,168.0
1703060766605.4348,238.0,1.0,290.260875,181.11375,449.542,290.73,1.0,168.0
1703060766611.7341,238.0,1.0,297.451125,179.69400000000002,455.825,291.14,1.0,168.0
1703060766618.485,238.0,1.0,296.467875,177.007125,454.825,289.089,1.0,168.0
1703060766621.3389,238.0,1.0,296.95275000000004,179.12812499999998,455.355,290.652,1.0,168.0
1703060766627.369,238.0,1.0,291.522375,176.004375,450.394,287.448,1.0,168.0
1703060766630.477,238.0,1.0,296.358,173.73074999999997,454.573,286.789,1.0,168.0
1703060766636.736,238.0,1.0,295.0605,173.833125,453.422,286.613,1.0,168.0
1703060766643.0168,238.0,1.0,296.20125,178.62675000000002,454.664,290.16,1.0,168.0
1703060766646.109,238.0,1.0,298.366125,176.23875,456.482,288.921,1.0,168.0
1703060766652.421,238.0,1.0,297.624375,177.93525000000002,455.898,289.956,1.0,168.0
1703060766655.515,238.0,1.0,303.723,179.57325,461.431,292.279,1.0,168.0
1703060766661.889,238.0,1.0,304.305375,180.9675,462.013,293.361,1.0,168.0
1703060766668.064,238.0,1.0,301.020375,179.33700000000002,458.995,291.587,1.0,168.0
1703060766671.119,238.0,1.0,304.47825,180.05849999999998,462.131,292.764,1.0,168.0
1703060766677.731,238.0,1.0,302.61000000000007,177.748875,460.353,290.793,1.0,168.0
1703060766680.5698,238.0,1.0,298.225125,178.70250000000001,456.469,290.604,1.0,168.0
1703060766686.773,238.0,1.0,298.90387499999997,178.204125,457.052,290.39,1.0,168.0
1703060766693.2969,238.0,1.0,303.285375,184.105125,461.227,295.328,1.0,168.0
1703060766696.2917,238.0,1.0,296.28525,181.76850000000002,454.886,292.345,1.0,168.0
1703060766702.397,238.0,1.0,296.87775,182.13150000000002,455.428,292.71,1.0,168.0
1703060766705.7769,238.0,1.0,299.083125,184.835625,457.509,295.001,1.0,168.0
1703060766711.864,238.0,1.0,305.39775000000003,182.719875,463.068,294.79,1.0,168.0
1703060766717.984,238.0,1.0,309.43425,183.567,466.747,296.18,1.0,168.0
1703060766721.198,238.0,1.0,306.144,181.700625,463.699,294.232,1.0,168.0
1703060766727.5452,238.0,1.0,307.68449999999996,182.244,465.112,294.914,1.0,168.0
1703060766730.46,238.0,1.0,309.050625,181.835625,466.334,294.903,1.0,168.0
1703060766736.779,238.0,1.0,307.783125,179.793,465.106,293.231,1.0,168.0
1703060766743.361,238.0,1.0,308.57625,179.90212499999998,465.83,293.464,1.0,168.0
